"Words","count"
"refurbished",1
"several",1
"close",1
"look",1
"unwilling",1
"always",1
"disappointment",1
"happy",2
"reliability",1
"satisfied",1
"schock",1
"consistantly",1
"nature",1
"sell",2
"tons",1
"weary",1
"week",1
"aside",1
"bells",1
"biggest",1
"counterparts",1
"everybit",1
"said",1
"speed",1
"waysthe",1
"whistles",1
"youll",1
"christmas",1
"performance",4
"received",1
"beyond",2
"current",2
"final",2
"goal",2
"holga",2
"images",2
"inherently",2
"jack",2
"kind",3
"knows",2
"mean",2
"medium",2
"models",2
"newer",3
"objective",2
"print",2
"printsa",2
"somewhat",4
"unless",3
"autofocus",4
"drive",2
"newest",4
"older",2
"reliable",2
"screw",2
"simple",2
"buggy",2
"ferrari",2
"horse",2
"switching",2
"although",4
"fullyfunctional",2
"desperate",2
"overdue",2
"picture",3
"short",2
"story",2
"capability",2
"motor",2
"note",4
"possible",2
"capabilities",2
"point",6
"program",2
"basic",3
"buttons",3
"controls",2
"days",2
"display",4
"friendly",2
"manage",2
"past",2
"recommended",2
"reduce",2
"user",3
"weight",2
"compact",2
"coolpix",2
"class",2
"companys",2
"including",2
"iso",3
"lots",3
"lowest",2
"operation",2
"prices",3
"simplified",2
"considered",2
"importance",2
"miss",2
"challenging",2
"photograph",3
"share",2
"imagine",2
"items",2
"pleased",2
"skeptical",2
"wound",2
"cool",2
"swank",2
"tamron",2
"totally",2
"wait",2
"cant",2
"impulse",2
"prepared",2
"saw",2
"dissapointed",2
"already",3
"completed",2
"mmg",2
"somes",2
"alternative",2
"amateur",2
"compare",2
"computerized",2
"depth",2
"electronics",2
"enthusiastic",2
"figure",2
"importantly",2
"modes",2
"pointandshoot",2
"provide",2
"stop",2
"stops",3
"thus",2
"utilize",2
"couldnt",2
"happier",2
"investigated",2
"months",4
"quick",2
"existing",1
"copy",1
"experienced",1
"guides",1
"invest",1
"lantern",1
"magic",1
"simon",1
"stafford",1
"built",1
"end",1
"grounds",1
"noise",1
"pleasant",1
"couple",1
"far",1
"goes",1
"following",1
"things",1
"autonomy",1
"battery",1
"fps",1
"gives",1
"least",1
"res",1
"silent",1
"speedy",1
"starts",1
"takes",1
"figuring",1
"hard",1
"key",1
"boy",1
"brother",1
"ist",1
"pentax",1
"ponderingthe",1
"reason",1
"sort",1
"spent",2
"complicated",1
"equal",1
"included",1
"learn",1
"equally",1
"find",1
"order",1
"sure",1
"makes",1
"around",1
"efs",2
"ordered",1
"sandisk",1
"total",1
"ago",1
"highend",1
"attached",1
"backpack",1
"fits",1
"traveling",1
"monochrome",2
"external",1
"flash",1
"hotshoe",1
"starting",1
"viewfinder",1
"allow",1
"custom",1
"functions",1
"tweaking",1
"changes",1
"resulting",1
"settings",1
"shortcut",1
"toggle",1
"wish",1
"firm",1
"rotate",1
"choosing",1
"four",1
"players",1
"purely",1
"taste",1
"germany",1
"gone",1
"london",1
"mexico",1
"singapore",1
"world",1
"okay",1
"rating",1
"palm",1
"springs",1
"anything",1
"arrives",1
"memory",2
"separatelyjust",1
"antes",1
"avanzados",1
"buena",2
"buenas",1
"camaras",1
"esta",1
"fotografia",1
"fotografos",1
"inician",1
"mas",1
"muy",2
"opcion",2
"para",5
"pero",1
"profesional",1
"quienes",1
"son",2
"una",2
"usado",1
"buenos",1
"continuos",1
"disparos",2
"efectos",1
"enfoque",1
"lograr",1
"manipular",1
"pueden",1
"puntos",1
"que",6
"rafaga",1
"seg",1
"tiene",1
"unos",2
"acercamientos",1
"aclaro",1
"adquirir",1
"como",1
"corto",1
"detalle",1
"entonces",1
"hacer",1
